Year,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn
1950,"OYSTER, EASTERN","68,192,100","30,932","27,391,974",Public,Commercial,Crassostrea virginica,79872
1951,"OYSTER, EASTERN","64,305,000","29,169","27,104,744",Public,Commercial,Crassostrea virginica,79872
1952,"OYSTER, EASTERN","72,164,600","32,734","30,337,289",Public,Commercial,Crassostrea virginica,79872
1953,"OYSTER, EASTERN","69,318,500","31,443","27,301,859",Public,Commercial,Crassostrea virginica,79872
1954,"OYSTER, EASTERN","70,969,600","32,192","30,949,289",Public,Commercial,Crassostrea virginica,79872
1955,"OYSTER, EASTERN","65,857,900","29,873","28,027,894",Public,Commercial,Crassostrea virginica,79872
1956,"OYSTER, EASTERN","63,224,600","28,678","28,101,286",Public,Commercial,Crassostrea virginica,79872
1957,"OYSTER, EASTERN","60,597,200","27,487","27,458,981",Public,Commercial,Crassostrea virginica,79872
1958,"OYSTER, EASTERN","55,163,500","25,022","28,263,798",Public,Commercial,Crassostrea virginica,79872
1959,"OYSTER, EASTERN","52,338,900","23,741","27,167,943",Public,Commercial,Crassostrea virginica,79872
1960,"OYSTER, EASTERN","48,979,800","22,217","26,964,087",Public,Commercial,Crassostrea virginica,79872
1961,"OYSTER, EASTERN","52,111,700","23,638","31,189,073",Public,Commercial,Crassostrea virginica,79872
1962,"OYSTER, EASTERN","45,296,200","20,546","26,517,532",Public,Commercial,Crassostrea virginica,79872
1963,"OYSTER, EASTERN","48,666,500","22,075","24,628,692",Public,Commercial,Crassostrea virginica,79872
1964,"OYSTER, EASTERN","50,564,790","22,936","25,289,306",Public,Commercial,Crassostrea virginica,79872
1965,"OYSTER, EASTERN","45,531,238","20,653","25,657,605",Public,Commercial,Crassostrea virginica,79872
1966,"OYSTER, EASTERN","43,408,500","19,690","24,669,112",Public,Commercial,Crassostrea virginica,79872
1967,"OYSTER, EASTERN","52,230,600","23,692","29,106,232",Public,Commercial,Crassostrea virginica,79872
1968,"OYSTER, EASTERN","54,131,800","24,554","29,053,934",Public,Commercial,Crassostrea virginica,79872
1969,"OYSTER, EASTERN","45,244,000","20,523","24,975,003",Public,Commercial,Crassostrea virginica,79872
1970,"OYSTER, EASTERN","45,629,100","20,697","25,810,461",Public,Commercial,Crassostrea virginica,79872
1971,"OYSTER, EASTERN","49,838,500","22,607","29,311,915",Public,Commercial,Crassostrea virginica,79872
1972,"OYSTER, EASTERN","47,669,900","21,623","30,747,759",Public,Commercial,Crassostrea virginica,79872
1973,"OYSTER, EASTERN","45,332,700","20,563","32,925,861",Public,Commercial,Crassostrea virginica,79872
1974,"OYSTER, EASTERN","45,126,500","20,469","34,802,514",Public,Commercial,Crassostrea virginica,79872
1975,"OYSTER, EASTERN","47,397,500","21,499","37,553,735",Public,Commercial,Crassostrea virginica,79872
1976,"OYSTER, EASTERN","48,011,000","21,778","46,024,468",Public,Commercial,Crassostrea virginica,79872
1977,"OYSTER, EASTERN","42,870,700","19,446","46,832,090",Public,Commercial,Crassostrea virginica,79872
1978,"OYSTER, EASTERN","46,997,045","21,318","54,818,974",Public,Commercial,Crassostrea virginica,79872
1979,"OYSTER, EASTERN","42,626,671","19,335","54,586,263",Public,Commercial,Crassostrea virginica,79872
1980,"OYSTER, EASTERN","44,127,750","20,016","61,412,934",Public,Commercial,Crassostrea virginica,79872
1981,"OYSTER, EASTERN","46,606,674","21,141","70,164,164",Public,Commercial,Crassostrea virginica,79872
1982,"OYSTER, EASTERN","48,816,051","22,143","72,681,529",Public,Commercial,Crassostrea virginica,79872
1983,"OYSTER, EASTERN","46,695,833","21,181","70,475,361",Public,Commercial,Crassostrea virginica,79872
1984,"OYSTER, EASTERN","46,031,971","20,880","86,306,617",Public,Commercial,Crassostrea virginica,79872
1985,"OYSTER, EASTERN","43,081,819","19,542","73,322,663",Public,Commercial,Crassostrea virginica,79872
1986,"OYSTER, EASTERN","39,138,944","17,753","82,831,349",Public,Commercial,Crassostrea virginica,79872
1987,"OYSTER, EASTERN","30,238,387","13,716","81,808,178",Public,Commercial,Crassostrea virginica,79872
1988,"OYSTER, EASTERN","26,108,514","11,843","72,883,381",Public,Commercial,Crassostrea virginica,79872
1989,"OYSTER, EASTERN","23,624,822","10,716","79,189,509",Public,Commercial,Crassostrea virginica,79872
1990,"OYSTER, EASTERN","22,298,776","10,115","92,516,455",Public,Commercial,Crassostrea virginica,79872
1991,"OYSTER, EASTERN","22,112,161","10,030","75,989,061",Public,Commercial,Crassostrea virginica,79872
1992,"OYSTER, EASTERN","27,409,756","12,433","91,361,487",Public,Commercial,Crassostrea virginica,79872
1993,"OYSTER, EASTERN","28,406,475","12,885","66,883,433",Public,Commercial,Crassostrea virginica,79872
1994,"OYSTER, EASTERN","27,291,467","12,379","72,844,561",Public,Commercial,Crassostrea virginica,79872
1995,"OYSTER, EASTERN","28,052,378","12,724","71,864,526",Public,Commercial,Crassostrea virginica,79872
1996,"OYSTER, EASTERN","30,062,166","13,636","86,111,446",Public,Commercial,Crassostrea virginica,79872
1997,"OYSTER, EASTERN","29,087,546","13,194","68,537,456",Public,Commercial,Crassostrea virginica,79872
1998,"OYSTER, EASTERN","26,255,739","11,910","70,152,468",Public,Commercial,Crassostrea virginica,79872
1999,"OYSTER, EASTERN","29,225,277","13,256","72,328,958",Public,Commercial,Crassostrea virginica,79872
2000,"OYSTER, EASTERN","29,927,692","13,575","70,652,778",Public,Commercial,Crassostrea virginica,79872
2001,"OYSTER, EASTERN","28,905,185","13,111","67,331,469",Public,Commercial,Crassostrea virginica,79872
2002,"OYSTER, EASTERN","26,680,757","12,102","65,836,502",Public,Commercial,Crassostrea virginica,79872
2003,"OYSTER, EASTERN","29,468,901","13,367","76,409,819",Public,Commercial,Crassostrea virginica,79872
2004,"OYSTER, EASTERN","21,831,567","9,903","61,013,520",Public,Commercial,Crassostrea virginica,79872
2005,"OYSTER, EASTERN","20,454,984","9,278","67,214,022",Public,Commercial,Crassostrea virginica,79872
2006,"OYSTER, EASTERN","20,272,254","9,195","77,576,414",Public,Commercial,Crassostrea virginica,79872
2007,"OYSTER, EASTERN","24,137,132","10,949","89,213,171",Public,Commercial,Crassostrea virginica,79872
2008,"OYSTER, EASTERN","21,594,191","9,795","78,747,379",Public,Commercial,Crassostrea virginica,79872
2009,"OYSTER, EASTERN","23,370,485","10,601","90,518,793",Public,Commercial,Crassostrea virginica,79872
2010,"OYSTER, EASTERN","19,826,641","8,993","86,654,411",Public,Commercial,Crassostrea virginica,79872
2011,"OYSTER, EASTERN","22,683,485","10,289","97,573,180",Public,Commercial,Crassostrea virginica,79872
2012,"OYSTER, EASTERN","25,310,561","11,481","118,306,854",Public,Commercial,Crassostrea virginica,79872
2013,"OYSTER, EASTERN","26,040,623","11,812","145,818,486",Public,Commercial,Crassostrea virginica,79872
2014,"OYSTER, EASTERN","24,835,160","11,265","179,691,357",Public,Commercial,Crassostrea virginica,79872
